n,date,time,desc
10,28.08.2023,10:50:40,Пер. Чеп - р. Бельаули
10,28.08.2023,13:15:10,Р. Бельаули - пер. Проходной
10,28.08.2023,15:00:55,Пер. Проходной - р. Кашка-Суу
11,29.08.2023,08:46:11,Р. Кашка-Суу - пер. Тула
11,29.08.2023,10:45:26,Спуск с пер. Тула до выполаживания
11,29.08.2023,12:21:11,Подход под пер. Дружина
11,29.08.2023,14:43:56,Подъем на пер. Дружина
11,29.08.2023,15:54:56,Пер. Дружина - ист. р. Аксай
12,30.08.2023,08:23:07,Ист. р. Аксай - ручей из южного цирка г. 4948.2
12,30.08.2023,17:24:35,Разведка хр. Ойбала
13,31.08.2023,07:48:39,Вниз по р. Кок-Суу
13,31.08.2023,11:58:14,Прохождение пер. Карабель
13,31.08.2023,15:26:18,Вверх по р. Ойбала до устья р. Наурус
14,01.09.2023,05:49:11,Подход под скальный участок восхождения на п. Александры
14,01.09.2023,08:54:41,Подъем до вершины п. Александры
14,01.09.2023,11:18:11,Спуск с п. Александры до конца скального участка
14,01.09.2023,12:40:26,Спуск до лагеря в устье р. Наурус
15,02.09.2023,07:51:54,Вверх по р. Наурус под пер. Теке
15,02.09.2023,08:34:39,Подъем на пер. Теке
15,02.09.2023,11:15:09,Спуск с пер. Теке до выполаживания
15,02.09.2023,15:23:45,Вниз по ущ. Курумду
16,03.09.2023,14:40:00,Ущ. Курумду - под пер. Тепчи
17,04.09.2023,04:47:48,Подъем на пер. Тепчи
17,04.09.2023,07:56:03,Траверс от пер. Тепчи до пер. Каркаракуль
17,04.09.2023,12:13:33,Спуск с пер. Каркаракуль до р. Чонг-Казык
17,04.09.2023,14:47:33,Вниз по р. Чонг-Казык до отм. 2298 м.
18,05.09.2023,04:45:51,Вниз по р. Чонг-Казык до поворота на пер. Отузойчурма
18,05.09.2023,08:14:36,Подъем на пер. Отузойчурма
18,05.09.2023,11:56:36,Пер. Отузойчурма - пер. Каратумабель
18,05.09.2023,12:56:51,Пер. Каратумабель - слияние ручьев с пер. Каратумабель и г. Каратума
19,06.09.2023,05:57:39,Подход под скальный участок восхождения на г. Каратума
19,06.09.2023,09:14:39,Подъем до вершины г. Каратума
19,06.09.2023,12:05:54,Спуск с г. Каратума до конца скального участка
19,06.09.2023,12:53:39,Спуск до лагеря на руч. с пер. Каратумабель
19,06.09.2023,16:15:51,Вниз вдоль р. Кичи-Каратума до притока с г. 4001.6
20,07.09.2023,06:09:18,Вниз по р. Кичи-Каратума до р. Ак-Богуз
20,07.09.2023,11:55:08,"Вверх по р. Ак-Богуз, р. Эчкили-Суу и ручью с г. 3905.5 до слияния его истоков"
20,07.09.2023,13:53:23,Подъем на ЮВ отрог г. 3905.5
21,08.09.2023,07:37:38,Подъем на г. 3905.5 по ЮВ отрогу
21,08.09.2023,14:27:52,Траверс хребта от  г. 3905.5 до пер. к СВ от г. 4219.8
21,08.09.2023,15:51:37,Спуск до лев. истока р. Карагатты
22,09.09.2023,06:05:33,Вниз по р. Карагатты до начала каньона
22,09.09.2023,08:45:33,Прохождение каньона р. Карагатты без групповой страховки
22,09.09.2023,12:45:18,Каньон р. Карагатты - техническая работа
22,09.09.2023,17:12:03,Подъем из каньона р. Карагатты на левобережный хребет
23,10.09.2023,05:24:56,Спуск по хребту до дороги
23,10.09.2023,06:40:22,Выход по дороге в пос. Сары-Бээ
